Name,Price
"Hp Pavilion 15 Gaming Intel Core I5-9300h 4gb Nvidia 256GB SSD Ram 8GB RAM, Backlit Keyboard","₦ 390,000"
"Hp Stream 11-ah117wm 11.6"", Intel Celeron4, 4GB RAM, 32GB EMMC, Windows 10 Home + 32GB Flash Drive + Laptop Purse","₦ 130,000"
"Hp 250 G6 Core I3 ,500GB HDD 8GB RAM 15.6-Inch Win 10 + Mouse","₦ 149,000"
"Lenovo IdeaPad 110 Intel Core I3-6100 1TB 4GB + 32GB Flash, Mouse+ USB Light For KeyboardWebcam Bluetooth 15.6","₦ 160,000"
"Hp Notebook 15, Intel 8th Gen Core I5 Processor, 1.6ghz Up To 3.4ghz, 12GB RAM, 2TB HDD Wind10","₦ 210,000"
"Hp 250 G5 Intel Core I3 (4GB,1TB HDD+ 32GB Flash, Mouse, USB Light For Keyboard) Windows 10","₦ 141,000"
"Hp Pavilion 15 Intel Pentium Quad Core (4GB,500GB HDD+ 32GB Flash) Windows 10 Laptop + Free Bag- Mouse- USB Light For Keyboard, Red","₦ 110,000"
"Hp Stream 11 2GB, 32GB SSD +32gb Flash,USB LED LIGHT","₦ 98,000"
Lenovo THINKPAD X1 CARBON 8TH GEN CORE I7 1TB 16GB WIN 10,"₦ 687,000"
"Hp Intel COREI3 - (4GB, 500 GB HDD) - 15.6"" Win 10 Laptop ±32GB Flash Drive, Mouse, USB Light For Keyboard,","₦ 135,000"
"Hp Pavilion 15 10th Gen Intel Core I7 1TB HDD 16GB RAM,Nvidia Graphics(MX250 4GB) Touch/Backlit Keyboard Win10.","₦ 455,000"
"DELL Inspirion 15 8th Gen Intel Core I7 1.8 Upto 4.6ghz 16GB Ram, 1TB HDD +2gb Graphics Wins 10 Pro","₦ 435,800"
"Asus Laptop Intel Core I3 4GB RAM 1TB HDD Win 10 14.1""","₦ 200,000"
Hp Stream 11 Pro Mini Laptop Intel Celeron (32GB/4GB)Wins10,"₦ 133,000"
"Hp 15- Intel Core I5, 8GB RAM, 2TB HDD,15.6'',Touch,Win 10+32GB FLASH","₦ 220,000"
"DELL Inspiron 15 Intel Core™ I5-7200U 2.2GHz 1TB Hard Drive 8GB Memory Touchscreen Win10 15.6 Inch, With Webcam","₦ 225,000"
DELL LATITUDE 5290 CI5 8GB 256SSD WIN 10 PRO 8TH GEN DETACHABLE,"₦ 350,000"
"Hp Pavilion 15 Intel Pentium Quad Core 2.1Ghz (4GB RAM, 1TB HDD) 15-Inch Windows 10 Laptop+32GB Flash With A USB Lamp And A Wireless Mouse - White","₦ 165,000"
7 Inch Tablet A33Wifi Version Tablet High Definiton Screen Tablet Arm+Dsp Dual Core Ips Screen Gravity Sensor,"₦ 12,960"
"Hp X360 7th Generation Intel Core I7-7500u 15.6-inch (16GB RAM,1TB HDD) 4GB Dedicated RAM - Windows 10+32GB FLASH","₦ 320,000"
Lenovo Ideapad Intel Celeron 1TB HDD 8GB RAM Win 10+ 32GB Flash,"₦ 179,900"
DELL Latitude 9410 X360 Core I7 16gb 512ssd 10th Gen Win 10,"₦ 650,000"
"Hp Spectre 13- X360 Intel Core I7-8550U,1.8GHz,256GB /8gb,13"",Win10","₦ 450,000"
"Hp 15-ay000nia Intel Celeron-QUAD CORE (4GBRAM,500GB HDD+32GB Flash Drive,Mouse,Fashion Sport Watch,USB Light) 15.6-Inch Windows 10 - Black WINDOWS 10","₦ 98,000"
"Hp Notebook 15 -Intel Core I3, 2.4Ghz, 1TB HDD, 4GB Ram+BAG- 32GB Flash, Mouse, USB Light For Keyboard- Webcam, Bluetooth, DVDRW, 15.6"", Win10","₦ 137,700"
"Hp 250 G5 Intel Pentium N3710 ,500GB HDD 4GB RAM 15.6 Inch Windows 7/10 + 32GB Flash Drive","₦ 117,000"
"DELL Inspiron 15-Intel Core I3, 12GB RAM,1TB HDD,Touch, Backlit Keyboard, Bluetooth, Wi-fi,Windows 10 OS+ Free Mouse","₦ 220,000"
"Hp 15-ra001nia, 15.6"", 1.6Ghz (Intel Pentium N3710 PROCESSOR, 4GB RAM, 500GB Windows 10","₦ 120,500"
Hp Pavilion 15- Intel Core I3- 15.6''- 1TB HDD- 12GB RAM- Touch Screen- No Dvd- Windows 10+32GB FLASH,"₦ 170,000"
"Lenovo IdeaPad Intel Celeron 11.6"" (500GB HDD/4GB RAM) Wins 10+32GB FLASH","₦ 122,000"
"Lenovo Ideapad 320- Intel Pentium Quad Core,1TB HDD/4GB RAM,15.6"" Windows 10","₦ 129,000"
DELL Vostro 3401 14'' FHD(10th Gen Core I3 8GB RAM 1TB / Win10 Pro,"₦ 240,000"
"Hp OMEN 15 Intel Core I7 1TB HDD+256GB SSD 16GB RAM 6GB,15.6""Wins 10","₦ 680,000"
"Hp Notebook 17- Intel Core I5-17.3-Inch,HP Webcam (8GB RAM, 1TB HDD+32GB Flash Drive,Mouse,Fashion Sport Watch)Windows 10","₦ 238,000"
"Hp 15 Intel Pentium 1TB HDD/4GB,15.6'' Touch, No Dvd, Win 10","₦ 120,000"
"Hp Pavilion 15 X360 Intel Core I7 1.8GHZ (1TB,16GB,2GB Graphics)Touchscreen Wins 10","₦ 470,000"
Hp Notebook- Intel Corei7- 500Hard Drive- 16GB +4GB Dedicated RAM Windows10-Silver,"₦ 270,000"
"DELL Inspiron 14 Intel Core I3, 4GB RAM/1TB 14'' Win10+32GB FLASH+BAG","₦ 165,500"
